"";"satz";"inhalt";"satzlaenge"
"2388";459;"»Aber nein, Fräulein«, sagte K., »ich mache keinen Spaß.";9
"2389";460;"Daß Sie mir nicht glauben wollen!";6
"2390";461;"Was ich weiß, habe ich Ihnen schon gesagt.";8
"2391";462;"Sogar mehr als ich weiß, denn es war gar keine Untersuchungskommission, ich nenne es so, weil ich keinen andern Namen dafür weiß.";22
"2392";463;"Es wurde gar nichts untersucht, ich wurde nur verhaftet, aber von einer Kommission.«";13
"2393";464;"Fräulein Bürstner saß auf der Ottomane und lachte wieder.";9
"2394";465;"»Wie war es denn?«";4
"2395";466;"fragte sie.";2
"2396";467;"»Schrecklich«, sagte K., aber er dachte jetzt gar nicht daran, sondern war ganz vom Anblick des Fräulein Bürstner ergriffen, die das Gesicht auf eine Hand stützte – der Ellbogen ruhte auf dem Kissen der Ottomane – während die andere Hand langsam die Hüfte strich.";42
"2397";468;"»Das ist zu allgemein«, sagte Fräulein Bürstner.";7
"2398";469;"»Was ist zu allgemein?«";4
"2399";470;"fragte K.";2
"2400";471;"Dann erinnerte er sich und fragte: »Soll ich Ihnen zeigen, wie es gewesen ist?«";14
"2401";472;"Er wollte Bewegung machen und doch nicht weggehen.";8
"2402";473;"»Ich bin schon müde«, sagte Fräulein Bürstner.";7
"2403";474;"»Sie kamen so spät«, sagte K.";6
"2404";475;"»Nun endet es damit, daß ich Vorwürfe bekomme, es ist auch berechtigt, denn ich hätte Sie nicht mehr hereinlassen sollen.";20
"2405";476;"Notwendig war es ja auch nicht, wie es sich gezeigt hat.«";11
"2406";477;"»Es war notwendig, das werden Sie erst jetzt sehn«, sagte K.";11
"2407";478;"»Darf ich das Nachttischchen von Ihrem Bett herrücken?«";8
"2408";479;"»Was fällt ihnen ein?«";4
"2409";480;"sagte Fräulein Bürstner, »das dürfen Sie natürlich nicht!«";8
"2410";481;"»Dann kann ich es Ihnen nicht zeigen«, sagte K. aufgeregt, als füge man ihm dadurch einen unermeßlichen Schaden zu.";19
"2411";482;"»Ja, wenn Sie es zur Darstellung brauchen, dann rücken Sie das Tischchen nur ruhig fort«, sagte Fräulein Bürstner und fügte nach einem Weilchen mit schwächerer Stimme hinzu: »Ich bin so müde, daß ich mehr erlaube, als gut ist.«";38
"2412";483;"K. stellte das Tischchen in die Mitte des Zimmers und setzte sich dahinter.";13
"2413";484;"»Sie müssen sich die Verteilung der Personen richtig vorstellen, es ist sehr interessant.";13
"2414";485;"Ich bin der Aufseher, dort auf dem Koffer sitzen zwei Wächter, bei den Photographien stehen drei junge Leute.";18
"2415";486;"An der Fensterklinke hängt, was ich nur nebenbei erwähne, eine weiße Bluse.";12
"2416";487;"Und jetzt fängt es an.";5
"2417";488;"Ja, ich vergesse mich.";4
"2418";489;"Die wichtigste Person, also ich, stehe hier vor dem Tischchen.";10
"2419";490;"Der Aufseher sitzt äußerst bequem, die Beine übereinandergelegt, den Arm hier über die Lehne hinunterhängend, ein Lümmel sondergleichen.";18
"2420";491;"Und jetzt fängt es also wirklich an.";7
"2421";492;"Der Aufseher ruft, als ob er mich wecken müßte, er schreit geradezu, ich muß leider, wenn ich es Ihnen begreiflich machen will, auch schreien, es ist übrigens nur mein Name, den er so schreit.«";34
"2422";493;"Fräulein Bürstner, die lachend zuhörte, legte den Zeigefinger an den Mund, um K. am Schreien zu hindern, aber es war zu spät.";22
"2423";494;"K. war zu sehr in der Rolle, er rief langsam: »Josef K.!«, übrigens nicht so laut, wie er gedroht hatte, aber doch so, daß sich der Ruf, nachdem er plötzlich ausgestoßen war, erst allmählich im Zimmer zu verbreiten schien.";39
"2424";495;"Da klopfte es an die Tür des Nebenzimmers einigemal, stark, kurz und regelmäßig.";13
"2425";496;"Fräulein Bürstner erbleichte und legte die Hand aufs Herz.";9
"2426";497;"K. erschrak deshalb besonders stark, weil er noch ein Weilchen ganz unfähig gewesen war, an etwas anderes zu denken als an die Vorfälle des Morgens und an das Mädchen, dem er sie vorführte.";33
"2427";498;"Kaum hatte er sich gefaßt, sprang er zu Fräulein Bürstner und nahm ihre Hand.";14
"2428";499;"»Fürchten Sie nichts«, flüsterte er, »ich werde alles in Ordnung bringen.";11
"2429";500;"Wer kann es aber sein?";5
"2430";501;"Hier nebenan ist doch nur das Wohnzimmer, in dem niemand schläft.«";11
"2431";502;"»Doch«, flüsterte Fräulein Bürstner an K.s Ohr, »seit gestern schläft hier ein Neffe von Frau Grubach, ein Hauptmann.";18
"2432";503;"Es ist gerade kein anderes Zimmer frei.";7
"2433";504;"Auch ich habe es vergessen.";5
"2434";505;"Daß Sie so schreien mußten!";5
"2435";506;"Ich bin unglücklich darüber.«";4
"2436";507;"»Dafür ist gar kein Grund«, sagte K. und küßte, als sie jetzt auf das Kissen zurücksank, ihre Stirn.";18
"2437";508;"»Weg, weg«, sagte sie und richtete sich eilig wieder auf, »gehen Sie doch, gehen Sie doch, was wollen Sie, er horcht doch an der Tür, er hört doch alles.";29
"2438";509;"Wie Sie mich quälen!«";4
"2439";510;"»Ich gehe nicht früher«, sagte K., »als Sie ein wenig beruhigt sind.";12
"2440";511;"Kommen Sie in die andere Ecke des Zimmers, dort kann er uns nicht hören.«";14
"2441";512;"Sie ließ sich dorthin führen.";5
"2442";513;"»Sie überlegen nicht«, sagte er, »daß es sich zwar um eine Unannehmlichkeit für Sie handelt, aber durchaus nicht um eine Gefahr.";21
"2443";514;"Sie wissen, wie mich Frau Grubach, die in dieser Sache doch entscheidet, besonders da der Hauptmann ihr Neffe ist, geradezu verehrt und alles, was ich sage, unbedingt glaubt.";28
"2444";515;"Sie ist auch im übrigen von mir abhängig, denn sie hat eine größere Summe von mir geliehen.";17
"2445";516;"Jeden Ihrer Vorschläge über eine Erklärung für unser Beisammen nehme ich an, wenn es nur ein wenig zweckentsprechend ist, und verbürge mich, Frau Grubach dazu zu bringen, die Erklärung nicht nur vor der Öffentlichkeit, sondern wirklich und aufrichtig zu glauben.";40
"2446";517;"Mich müssen Sie dabei in keiner Weise schonen.";8
"2447";518;"Wollen Sie verbreitet haben, daß ich Sie überfallen habe, so wird Frau Grubach in diesem Sinne unterrichtet werden und wird es glauben, ohne das Vertrauen zu mir zu verlieren, so sehr hängt sie an mir.«";35
"2448";519;"Fräulein Bürstner sah, still und ein wenig zusammengesunken, vor sich auf den Boden.";13
"2449";520;"»Warum sollte Frau Grubach nicht glauben, daß ich Sie überfallen habe?«";11
"2450";521;"fügte K. hinzu.";3
"2451";522;"Vor sich sah er ihr Haar, geteiltes, niedrig gebauschtes, fest zusammengehaltenes, rötliches Haar.";13
"2452";523;"Er glaubte, sie werde ihm den Blick zuwenden, aber sie sagte in unveränderter Haltung: »Verzeihen Sie, ich bin durch das plötzliche Klopfen so erschreckt worden, nicht so sehr durch die Folgen, die die Anwesenheit des Hauptmanns haben könnte.";38
"2453";524;"Es war so still nach Ihrem Schrei, und da klopfte es, deshalb bin ich so erschrocken, ich saß auch in der Nähe der Tür, es klopfte fast neben mir.";29
"2454";525;"Für Ihre Vorschläge danke ich, aber ich nehme sie nicht an.";11
"2455";526;"Ich kann für alles, was in meinem Zimmer geschieht, die Verantwortung tragen, und zwar gegenüber jedem.";16
"2456";527;"Ich wundere mich, daß Sie nicht merken, was für eine Beleidigung für mich in Ihren Vorschlägen liegt, neben den guten Absichten natürlich, die ich gewiß anerkenne.";26
"2457";528;"Aber nun gehen Sie, lassen Sie mich allein, ich habe es jetzt noch nötiger als früher.";16
"2458";529;"Aus den wenigen Minuten, um die Sie gebeten haben, ist nun eine halbe Stunde und mehr geworden.«";17
"2459";530;"K. faßte sie bei der Hand und dann beim Handgelenk: »Sie sind mir aber nicht böse?«";16
"2460";531;"sagte er.";2
"2461";532;"Sie streifte seine Hand ab und antwortete: »Nein, nein, ich bin niemals und niemandem böse.«";15
"2462";533;"Er faßte wieder nach ihrem Handgelenk, sie duldete es jetzt und führte ihn so zur Tür.";16
"2463";534;"Er war fest entschlossen, wegzugehen.";5
"2464";535;"Aber vor der Tür, als hätte er nicht erwartet, hier eine Tür zu finden, stockte er, diesen Augenblick benützte Fräulein Bürstner, sich loszumachen, die Tür zu öffnen, ins Vorzimmer zu schlüpfen und von dort aus K. leise zu sagen: »Nun kommen Sie doch, bitte.";44
"2465";536;"Sehen Sie« – sie zeigte auf die Tür des Hauptmanns, unter der ein Lichtschein hervorkam – »er hat angezündet und unterhält sich über uns.«";22
"2466";537;"»Ich komme schon«, sagte K., lief vor, faßte sie, küßte sie auf den Mund und dann über das ganze Gesicht, wie ein durstiges Tier mit der Zunge über das endlich gefundene Quellwasser hinjagt.";33
"2467";538;"Schließlich küßte er sie auf den Hals, wo die Gurgel ist, und dort ließ er die Lippen lange liegen.";19
"2468";539;"Ein Geräusch aus dem Zimmer des Hauptmanns ließ ihn aufschauen.";10
"2469";540;"»Jetzt werde ich gehen«, sagte er, er wollte Fräulein Bürstner beim Taufnamen nennen, wußte ihn aber nicht.";17
"2470";541;"Sie nickte müde, überließ ihm, schon halb abgewendet, die Hand zum Küssen, als wisse sie nichts davon, und ging gebückt in ihr Zimmer.";23
"2471";542;"Kurz darauf lag K. in seinem Bett.";7
"2472";543;"Er schlief sehr bald ein, vor dem Einschlafen dachte er noch ein Weilchen über sein Verhalten nach, er war damit zufrieden, wunderte sich aber, daß er nicht noch zufriedener war; wegen des Hauptmanns machte er sich für Fräulein Bürstner ernstliche Sorgen.";41
"2473";544;"K. war telephonisch verständigt worden, daß am nächsten Sonntag eine kleine Untersuchung in seiner Angelegenheit stattfinden würde.";17
"2474";545;"Man machte ihn darauf aufmerksam, daß diese Untersuchungen regelmäßig, wenn auch vielleicht nicht jede Woche, so doch häufige, einander folgen würden.";21
"2475";546;"Es liege einerseits im allgemeinen Interesse, den Prozeß rasch zu Ende zu führen, anderseits aber müßten die Untersuchungen in jeder Hinsicht gründlich sein und dürften doch wegen der damit verbundenen Anstrengung niemals allzulange dauern.";34
"2476";547;"Deshalb habe man den Ausweg dieser rasch aufeinanderfolgenden, aber kurzen Untersuchungen gewählt.";12
"2477";548;"Die Bestimmung des Sonntags als Untersuchungstag habe man deshalb vorgenommen, um K. in seiner beruflichen Arbeit nicht zu stören.";19
"2478";549;"Man setze voraus, daß er damit einverstanden sei, sollte er einen anderen Termin wünschen, so würde man ihm, so gut es ginge, entgegenkommen.";23
"2479";550;"Die Untersuchungen wären beispielsweise auch in der Nacht möglich, aber da sei wohl K. nicht frisch genug.";17
"2480";551;"Jedenfalls werde man es, solange K. nichts einwende, beim Sonntag belassen.";11
"2481";552;"Es sei selbstverständlich, daß er bestimmt erscheinen müsse, darauf müsse man ihn wohl nicht erst aufmerksam machen.";17
"2482";553;"Es wurde ihm die Nummer des Hauses genannt, in dem er sich einfinden solle, es war ein Haus in einer entlegenen Vorstadtstraße, in der K. noch niemals gewesen war.";29
"2483";554;"K. hängte, als er diese Meldung erhalten hatte, ohne zu antworten, den Hörer an; er war gleich entschlossen, Sonntag hinzugehen, es war gewiß notwendig, der Prozeß kam in Gang und er mußte sich dem entgegenstellen, diese erste Untersuchung sollte auch die letzte sein.";43
"2484";555;"Er stand noch nachdenklich beim Apparat, da hörte er hinter sich die Stimme des Direktor-Stellvertreters, der telephonieren wollte, dem aber K. den Weg verstellte.";25
"2485";556;"»Schlechte Nachrichten?«";2
"2486";557;"fragte der Direktor-Stellvertreter leichthin, nicht um etwas zu erfahren, sondern um K. vom Apparat wegzubringen.";16
"2487";558;"»Nein, nein«, sagte K., trat beiseite, ging aber nicht weg.";10
"2488";559;"Der Direktor-Stellvertreter nahm den Hörer und sagte, während er auf die telephonische Verbindung wartete, über das Hörrohr hinweg: »Eine Frage, Herr K.: Möchten Sie mir Sonntag früh das Vergnügen machen, eine Partie auf meinem Segelboot mitzumachen?";37
"2489";560;"Es wird eine größere Gesellschaft sein, gewiß auch Ihre Bekannten darunter.";11
"2490";561;"Unter anderem Staatsanwalt Hasterer.";4
"2491";562;"Wollen Sie kommen?";3
"2492";563;"Kommen Sie doch!«";3
"2493";564;"K. versuchte, darauf achtzugeben, was der Direktor-Stellvertreter sagte.";9
"2494";565;"Es war nicht unwichtig für ihn, denn diese Einladung des Direktor-Stellvertreters, mit dem er sich niemals sehr gut vertragen hatte, bedeutete einen Versöhnungsversuch von dessen Seite und zeigte, wie wichtig K. in der Bank geworden war und wie wertvoll seine Freundschaft oder wenigstens seine Unparteilichkeit dem zweithöchsten Beamten der Bank erschien.";52
"2495";566;"Diese Einladung war eine Demütigung des Direktor-Stellvertreters, mochte sie auch nur in Erwartung der telephonischen Verbindung über das Hörrohr hinweg gesagt sein.";23
"2496";567;"Aber K. mußte eine zweite Demütigung folgen lassen, er sagte: »Vielen Dank!";12
"2497";568;"Aber ich habe leider Sonntag keine Zeit, ich habe schon eine Verpflichtung.«";12
"2498";569;"»Schade«, sagte der Direktor-Stellvertreter und wandte sich dem telephonischen Gespräch zu, das gerade hergestellt worden war.";17
"2499";570;"Es war kein kurzes Gespräch, aber K. blieb in seiner Zerstreutheit die ganze Zeit über neben dem Apparat stehen.";19
"2500";571;"Erst als der Direktor-Stellvertreter abläutete, erschrak er und sagte, um sein unnützes Dasein nur ein wenig zu entschuldigen: »Ich bin jetzt antelephoniert worden, ich möchte irgendwo hinkommen, aber man hat vergessen, mir zu sagen, zu welcher Stunde.«";38
"2501";572;"»Fragen Sie doch noch einmal nach«, sagte der Direktor-Stellvertreter.";10
"2502";573;"»Es ist nicht so wichtig«, sagte K., obwohl dadurch seine frühere, schon an sich mangelhafte Entschuldigung noch weiter verfiel.";19
"2503";574;"Der Direktor-Stellvertreter sprach noch im Weggehen über andere Dinge.";10
"2504";575;"K. zwang sich auch zu antworten, dachte aber hauptsächlich daran, daß es am besten sein werde, Sonntag um neun Uhr vormittags hinzukommen, da zu dieser Stunde an Werktagen alle Gerichte zu arbeiten anfangen.";33
"2505";576;"Sonntag war trübes Wetter.";4
"2506";577;"K. war sehr ermüdet, da er wegen einer Stammtischfeierlichkeit bis spät in die Nacht im Gasthaus geblieben war, er hätte fast verschlafen.";22
"2507";578;"Eilig, ohne Zeit zu haben, zu überlegen und die verschiedenen Pläne, die er während der Woche ausgedacht hatte, zusammenzustellen, kleidete er sich an und lief, ohne zu frühstücken, in die ihm bezeichnete Vorstadt.";33
"2508";579;"Eigentümlicherweise traf er, obwohl er wenig Zeit hatte, umherzublicken, die drei an seiner Angelegenheit beteiligten Beamten, Rabensteiner, Kullich und Kaminer.";20
"2509";580;"Die ersten zwei fuhren in einer Elektrischen quer über K.s Weg, Kaminer aber saß auf der Terrasse eines Kaffeehauses und beugte sich gerade, als K. vorüberkam, neugierig über die Brüstung.";30
"2510";581;"Alle sahen ihm wohl nach und wunderten sich, wie ihr Vorgesetzter lief; es war irgendein Trotz, der K. davon abgehalten hatte, zu fahren, er hatte Abscheu vor jeder, selbst der geringsten fremden Hilfe in dieser seiner Sache, auch wollte er niemanden in Anspruch nehmen und dadurch selbst nur im allerentferntesten einweihen; schließlich hatte er aber auch nicht die geringste Lust, sich durch allzu große Pünktlichkeit vor der Untersuchungskommission zu erniedrigen.";70
"2511";582;"Allerdings lief er jetzt, um nur möglichst um neun Uhr einzutreffen, obwohl er nicht einmal für eine bestimmte Stunde bestellt war.";21
"2512";583;"Er hatte gedacht, das Haus schon von der Ferne an irgendeinem Zeichen, das er sich selbst nicht genau vorgestellt hatte, oder an einer besonderen Bewegung vor dem Eingang schon von weitem zu erkennen.";33
"2513";584;"Aber die Juliusstraße, in der es sein sollte und an deren Beginn K. einen Augenblick lang stehenblieb, enthielt auf beiden Seiten fast ganz einförmige Häuser, hohe, graue, von armen Leuten bewohnte Miethäuser.";32
"2514";585;"Jetzt, am Sonntagmorgen, waren die meisten Fenster besetzt, Männer in Hemdärmeln lehnten dort und rauchten oder hielten kleine Kinder vorsichtig und zärtlich an den Fensterrand.";25
"2515";586;"Andere Fenster waren hoch mit Bettzeug angefüllt, über dem flüchtig der zerraufte Kopf einer Frau erschien.";16
"2516";587;"Man rief einander über die Gasse zu, ein solcher Zuruf bewirkte gerade über K. ein großes Gelächter.";17
"2517";588;"Regelmäßig verteilt befanden sich in der langen Straße kleine, unter dem Straßenniveau liegende, durch ein paar Treppen erreichbare Läden mit verschiedenen Lebensmitteln.";22
"2518";589;"Dort gingen Frauen aus und ein oder standen auf den Stufen und plauderten.";13
"2519";590;"Ein Obsthändler, der seine Waren zu den Fenstern hinauf empfahl, hätte, ebenso unaufmerksam wie K., mit seinem Karren diesen fast niedergeworfen.";21
"2520";591;"Eben begann ein in besseren Stadtvierteln ausgedientes Grammophon mörderisch zu spielen.";11
"2521";592;"K. ging tiefer in die Gasse hinein, langsam, als hätte er nun schon Zeit oder als sähe ihn der Untersuchungsrichter aus irgendeinem Fenster und wisse also, daß sich K. eingefunden habe.";31
"2522";593;"Es war kurz nach neun.";5
"2523";594;"Das Haus lag ziemlich weit, es war fast ungewöhnlich ausgedehnt, besonders die Toreinfahrt war hoch und weit.";17
"2524";595;"Sie war offenbar für Lastfuhren bestimmt, die zu den verschiedenen Warenmagazinen gehörten, die jetzt versperrt den großen Hof umgaben und Aufschriften von Firmen trugen, von denen K. einige aus dem Bankgeschäft kannte.";32
"2525";596;"Gegen seine sonstige Gewohnheit sich mit allen diesen Äußerlichkeiten genauer befassend, blieb er auch ein wenig am Eingang des Hofes stehen.";21
"2526";597;"In seiner Nähe auf einer Kiste saß ein bloßfüßiger Mann und las eine Zeitung.";14
"2527";598;"Auf einem Handkarren schaukelten zwei Jungen.";6
"2528";599;"Vor einer Pumpe stand ein schwaches, junges Mädchen in einer Nachtjoppe und blickte, während das Wasser in ihre Kanne strömte, auf K. hin.";23
"2529";600;"In einer Ecke des Hofes wurde zwischen zwei Fenstern ein Strick gespannt, auf dem die zum Trocknen bestimmte Wäsche schon hing.";21
"2530";601;"Ein Mann stand unten und leitete die Arbeit durch ein paar Zurufe.";12
"2531";602;"K. wandte sich der Treppe zu, um zum Untersuchungszimmer zu kommen, stand dann aber wieder still, denn außer dieser Treppe sah er im Hof noch drei verschiedene Treppenaufgänge und überdies schien ein kleiner Durchgang am Ende des Hofes noch in einen zweiten Hof zu führen.";45
"2532";603;"Er ärgerte sich, daß man ihm die Lage des Zimmers nicht näher bezeichnet hatte, es war doch eine sonderbare Nachlässigkeit oder Gleichgültigkeit, mit der man ihn behandelte, er beabsichtigte, das sehr laut und deutlich festzustellen.";35
"2533";604;"Schließlich stieg er doch die Treppe hinauf und spielte in Gedanken mit einer Erinnerung an den Ausspruch des Wächters Willem, daß das Gericht von der Schuld angezogen werde, woraus eigentlich folgte, daß das Untersuchungszimmer an der Treppe liegen mußte, die K. zufällig wählte.";43
"2534";605;"Er störte im Hinaufgehen viele Kinder, die auf der Treppe spielten und ihn, wenn er durch ihre Reihe schritt, böse ansahen.";21
"2535";606;"»Wenn ich nächstens wieder hergehen sollte«, sagte er sich, »muß ich entweder Zuckerwerk mitnehmen, um sie zu gewinnen, oder den Stock, um sie zu prügeln.«";25
"2536";607;"Knapp vor dem ersten Stockwerk mußte er sogar ein Weilchen warten, bis eine Spielkugel ihren Weg vollendet hatte, zwei kleine Jungen mit den verzwickten Gesichtern erwachsener Strolche hielten ihn indessen an den Beinkleidern; hätte er sie abschütteln wollen, hätte er ihnen wehtun müssen, und er fürchtete ihr Geschrei.";48
"2537";608;"Im ersten Stockwerk begann die eigentliche Suche.";7
"2538";609;"Da er doch nicht nach der Untersuchungskommission fragen konnte, erfand er einen Tischler Lanz – der Name fiel ihm ein, weil der Hauptmann, der Neffe der Frau Grubach, so hieß – und wollte nun in allen Wohnungen nachfragen, ob hier ein Tischler Lanz wohne, um so die Möglichkeit zu bekommen, in die Zimmer hineinzusehen.";52
"2539";610;"Es zeigte sich aber, daß das meistens ohne weiteres möglich war, denn fast alle Türen standen offen und die Kinder liefen ein und aus,.";24
"2540";611;"Es waren in der Regel kleine, einfenstrige Zimmer, in denen auch gekocht wurde.";13
"2541";612;"Manche Frauen hielten Säuglinge im Arm und arbeiteten mit der freien Hand auf dem Herd.";15
"2542";613;"Halbwüchsige, scheinbar nur mit Schürzen bekleidete Mädchen liefen am fleißigsten hin und her.";13
"2543";614;"In allen Zimmern standen die Betten noch in Benützung, es lagen dort Kranke oder noch Schlafende oder Leute, die sich dort in Kleidern streckten.";24
"2544";615;"An den Wohnungen, deren Türen geschlossen waren, klopfte K. an und fragte, ob hier ein Tischler Lanz wohne.";18
"2545";616;"Meistens öffnete eine Frau, hörte die Frage an und wandte sich ins Zimmer zu jemandem, der sich aus dem Bett erhob.";21
"2546";617;"»Der Herr fragt, ob ein Tischler Lanz hier wohnt.«";9
"2547";618;"»Tischler Lanz?«";2
"2548";619;"fragte der aus dem Bett.";5
"2549";620;"»Ja«, sagte K., obwohl sich hier die Untersuchungskommission zweifellos nicht befand und daher seine Aufgabe beendet war.";17
"2550";621;"Viele glaubten, es liege K. sehr viel daran, den Tischler Lanz zu finden, dachten lange nach, nannten einen Tischler, der aber nicht Lanz hieß, oder einen Namen, der mit Lanz eine ganz entfernte Ähnlichkeit hatte, oder sie fragten bei Nachbarn oder begleiteten K. zu einer weit entfernten Tür, wo ihrer Meinung nach ein derartiger Mann möglicherweise in Aftermiete wohne oder wo jemand sei, der bessere Auskunft als sie selbst geben könne.";71
"2551";622;"Schließlich mußte K. kaum mehr selbst fragen, sondern wurde auf diese Weise durch die Stockwerke gezogen.";16
"2552";623;"Er bedauerte seinen Plan, der ihm zuerst so praktisch erschienen war.";11
"2553";624;"Vor dem fünften Stockwerk entschloß er sich, die Suche aufzugeben, verabschiedete sich von einem freundlichen, jungen Arbeiter, der ihn weiter hinaufführen wollte, und ging hinunter.";25
"2554";625;"Dann aber ärgerte ihn wieder das Nutzlose dieser ganzen Unternehmung, er ging nochmals zurück und klopfte an die erste Tür des fünften Stockwerkes.";23
"2555";626;"Das erste, was er in dem kleinen Zimmer sah, war eine große Wanduhr, die schon zehn Uhr zeigte.";18
"2556";627;"»Wohnt ein Tischler Lanz hier?«";5
"2557";628;"fragte er.";2
"2558";629;"»Bitte«, sagte eine junge Frau mit schwarzen, leuchtenden Augen, die gerade in einem Kübel Kinderwäsche wusch, und zeigte mit der nassen Hand auf die offene Tür des Nebenzimmers.";28
"2559";630;"K. glaubte in eine Versammlung einzutreten.";6
"2560";631;"Ein Gedränge der verschiedensten Leute – niemand kümmerte sich um den Eintretenden – füllte ein mittelgroßes, zweifenstriges Zimmer, das knapp an der Decke von einer Galerie umgeben war, die gleichfalls vollständig besetzt war und wo die Leute nur gebückt stehen konnten und mit Kopf und Rücken an die Decke stießen.";48
"2561";632;"K., dem die Luft zu dumpf war, trat wieder hinaus und sagte zu der jungen Frau, die ihn wahrscheinlich falsch verstanden hatte: »Ich habe nach einem Tischler, einem gewissen Lanz, gefragt?«";31
"2562";633;"»Ja«, sagte die Frau, »gehen Sie, bitte, hinein.«";8
"2563";634;"K. hätte ihr vielleicht nicht gefolgt, wenn die Frau nicht auf ihn zugegangen wäre, die Türklinke ergriffen und gesagt hätte: »Nach Ihnen muß ich schließen, es darf niemand mehr hinein.«";30
"2564";635;"»Sehr vernünftig«, sagte K., »es ist aber jetzt schon zu voll.«";11
"2565";636;"Dann ging er aber doch wieder hinein.";7
"2566";637;"Zwischen zwei Männern hindurch, die sich unmittelbar bei der Tür unterhielten – der eine machte mit beiden, weit vorgestreckten Händen die Bewegung des Geldaufzählens, der andere sah ihm scharf in die Augen -, faßte eine Hand nach K.";36
"2567";638;"Es war ein kleiner, rotbäckiger Junge.";6
"2568";639;"»Kommen Sie, kommen Sie«, sagte er.";6
"2569";640;"K. ließ sich von ihm führen, es zeigte sich, daß in dem durcheinanderwimmelnden Gedränge doch ein schmaler Weg frei war, der möglicherweise zwei Parteien schied; dafür sprach auch, daß K. in den ersten Reihen rechts und links kaum ein ihm zugewendetes Gesicht sah, sondern nur die Rücken von Leuten, welche ihre Reden und Bewegungen nur an Leute ihrer Partei richteten.";60
"2570";641;"Die meisten waren schwarz angezogen, in alten, lang und lose hinunterhängenden Feiertagsröcken.";12
"2571";642;"Nur diese Kleidung beirrte K., sonst hätte er das Ganze für eine politische Bezirksversammlung angesehen.";15
"2572";643;"Am anderen Ende des Saales, zu dem K. geführt wurde, stand auf einem sehr niedrigen, gleichfalls überfüllten Podium ein kleiner Tisch, der Quere nach aufgestellt, und hinter ihm, nahe am Rand des Podiums, saß ein kleiner, dicker, schnaufender Mann, der sich gerade mit einem hinter ihm Stehenden – dieser hatte den Ellbogen auf die Sessellehne gestützt und die Beine gekreuzt unter großem Gelächter unterhielt.";63
"2573";644;"Manchmal warf er den Arm in die Luft, als karikiere er jemanden.";12
"2574";645;"Der Junge, der K. führte, hatte Mühe, seine Meldung vorzubringen.";10
"2575";646;"Zweimal hatte er schon, auf den Fußspitzen stehend, etwas auszurichten versucht, ohne von dem Mann oben beachtet worden zu sein.";20
"2576";647;"Erst als einer der Leute oben auf dem Podium auf den Jungen aufmerksam machte, wandte sich der Mann ihm zu und hörte hinuntergebeugt seinen leisen Bericht an.";27
"2577";648;"Dann zog er seine Uhr und sah schnell nach K. hin.";11
"2578";649;"»Sie hätten vor einer Stunde und fünf Minuten erscheinen sollen«, sagte er.";12
"2579";650;"K. wollte etwas antworten, aber er hatte keine Zeit, denn kaum hatte der Mann ausgesprochen, erhob sich in der rechten Saalhälfte ein allgemeines Murren.";24
"2580";651;"»Sie hätten vor einer Stunde und fünf Minuten erscheinen sollen«, wiederholte nun der Mann mit erhobener Stimme und sah nun auch schnell in den Saal hinunter.";26
"2581";652;"Sofort wurde auch das Murren stärker und verlor sich, da der Mann nichts mehr sagte, nur allmählich.";17
"2582";653;"Es war jetzt im Saal viel stiller als bei K.s Eintritt.";11
"2583";654;"Nur die Leute auf der Galerie hörten nicht auf, ihre Bemerkungen zu machen.";13
"2584";655;"Sie schienen, soweit man oben in dem Halbdunkel, Dunst und Staub etwas unterscheiden konnte, schlechter angezogen zu sein als die unten.";21
"2585";656;"Manche hatten Polster mitgebracht, die sie zwischen den Kopf und die Zimmerdecke gelegt hatten, um sich nicht wundzudrücken.";18
"2586";657;"K. hatte sich entschlossen, mehr zu beobachten als zu reden, infolgedessen verzichtete er auf die Verteidigung wegen seines angeblichen Zuspätkommens und sagte bloß: »Mag ich zu spät gekommen sein, jetzt bin ich hier.«";33
"2587";658;"Ein Beifallklatschen, wieder aus der rechten Saalhälfte, folgte.";8
"2588";659;"Leicht zu gewinnende Leute, dachte K. und war nur gestört durch die Stille in der linken Saalhälfte, die gerade hinter ihm lag und aus der sich nur ganz vereinzeltes Händeklatschen erhoben hatte.";32
"2589";660;"Er dachte nach, was er sagen könnte, um alle auf einmal oder, wenn das nicht möglich sein sollte, wenigstens zeitweilig auch die anderen zu gewinnen.";25
"2590";661;"»Ja«, sagte der Mann, »aber ich bin nicht mehr verpflichtet, Sie jetzt zu verhören« – wieder das Murren, diesmal aber mißverständlich, denn der Mann fuhr, indem er den Leuten mit der Hand abwinkte, fort, – »ich will es jedoch ausnahmsweise heute noch tun.";41
"2591";662;"Eine solche Verspätung darf sich aber nicht mehr wiederholen.";9
"2592";663;"Und nun treten Sie vor!«";5
"2593";664;"Irgend jemand sprang vom Podium hinunter, so daß für K. ein Platz frei wurde, auf den er hinaufstieg.";18
"2594";665;"Er stand eng an den Tisch gedrückt, das Gedränge hinter ihm war so groß, daß er ihm Widerstand leisten mußte, wollte er nicht den Tisch des Untersuchungsrichters und vielleicht auch diesen selbst vom Podium hinunterstoßen.";35
